Municipality|Ward_Name|Ward_Number|Contest|Candidate|Votes
City of Kenosha|Wards 63|63|REP United States Senator|Charles E. Barman|0
City of Kenosha|Wards 63|63|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 63|63|REP United States Senator|Write-In|0
City of Kenosha|Wards 63|63|REP Representative in Congress|Bryan Steil|0
City of Kenosha|Wards 63|63|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 63|63|REP State Senator District 22|Write-In|0
City of Kenosha|Wards 63|63|REP Representative to the Assembly District 64|Ed Hibsch|0
City of Kenosha|Wards 63|63|REP Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 63|63|REP District Attorney|Xavier Solis|0
City of Kenosha|Wards 63|63|REP District Attorney|Write-In|0
City of Kenosha|Wards 63|63|REP County Clerk|Write-In|0
City of Kenosha|Wards 63|63|REP County Treasurer|Write-In|0
City of Kenosha|Wards 63|63|REP Register of Deeds|Write-In|0
City of Kenosha|Wards 63|63|CON United States Senator|Write-In|0
City of Kenosha|Wards 63|63|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 63|63|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 63|63|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 63|63|CON District Attorney|Write-In|0
City of Kenosha|Wards 63|63|CON County Clerk|Write-In|0
City of Kenosha|Wards 63|63|CON County Treasurer|Write-In|0
City of Kenosha|Wards 63|63|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 63|63|LIB United States Senator|Write-In|0
City of Kenosha|Wards 63|63|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 63|63|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 63|63|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 63|63|LIB District Attorney|Write-In|0
City of Kenosha|Wards 63|63|LIB County Clerk|Write-In|0
City of Kenosha|Wards 63|63|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 63|63|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 63|63|GRN United States Senator|Write-In|0
City of Kenosha|Wards 63|63|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 63|63|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 63|63|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 63|63|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 63|63|GRN District Attorney|Write-In|0
City of Kenosha|Wards 63|63|GRN County Clerk|Write-In|0
City of Kenosha|Wards 63|63|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 63|63|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 63|63|State Referendum - Question 1|Yes|0
City of Kenosha|Wards 63|63|State Referendum - Question 1|No|0
City of Kenosha|Wards 63|63|State Referendum - Question 2|Yes|1
City of Kenosha|Wards 63|63|State Referendum - Question 2|No|0
City of Kenosha|Wards 64|64|Party Preference Section|Democratic|0
City of Kenosha|Wards 64|64|Party Preference Section|Republican|0
City of Kenosha|Wards 64|64|Party Preference Section|Constitution|0
City of Kenosha|Wards 64|64|Party Preference Section|Libertarian|0
City of Kenosha|Wards 64|64|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 64|64|DEM United States Senator|Tammy Baldwin|0
City of Kenosha|Wards 64|64|DEM United States Senator|Write-In|0
City of Kenosha|Wards 64|64|DEM Representative in Congress|Peter Barca|0
City of Kenosha|Wards 64|64|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 64|64|DEM State Senator District 22|Robert W. Wirch|0
City of Kenosha|Wards 64|64|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 64|64|DEM Representative to the Assembly District 64|Tip McGuire|0
City of Kenosha|Wards 64|64|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 64|64|DEM District Attorney|Carli McNeill|0
City of Kenosha|Wards 64|64|DEM District Attorney|Write-In|0
City of Kenosha|Wards 64|64|DEM County Clerk|Regi Waligora|0
City of Kenosha|Wards 64|64|DEM County Clerk|Write-In|0
City of Kenosha|Wards 64|64|DEM County Treasurer|Teri Jacobson|0
City of Kenosha|Wards 64|64|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 64|64|DEM Register of Deeds|Jennifer Mack|0
City of Kenosha|Wards 64|64|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 64|64|REP United States Senator|Eric Hovde|0
City of Kenosha|Wards 64|64|REP United States Senator|Charles E. Barman|0
City of Kenosha|Wards 64|64|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 64|64|REP United States Senator|Write-In|0
City of Kenosha|Wards 64|64|REP Representative in Congress|Bryan Steil|0
City of Kenosha|Wards 64|64|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 64|64|REP State Senator District 22|Write-In|0
City of Kenosha|Wards 64|64|REP Representative to the Assembly District 64|Ed Hibsch|0
City of Kenosha|Wards 64|64|REP Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 64|64|REP District Attorney|Xavier Solis|0
City of Kenosha|Wards 64|64|REP District Attorney|Write-In|0
City of Kenosha|Wards 64|64|REP County Clerk|Write-In|0
City of Kenosha|Wards 64|64|REP County Treasurer|Write-In|0
City of Kenosha|Wards 64|64|REP Register of Deeds|Write-In|0
City of Kenosha|Wards 64|64|CON United States Senator|Write-In|0
City of Kenosha|Wards 64|64|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 64|64|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 64|64|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 64|64|CON District Attorney|Write-In|0
City of Kenosha|Wards 64|64|CON County Clerk|Write-In|0
City of Kenosha|Wards 64|64|CON County Treasurer|Write-In|0
City of Kenosha|Wards 64|64|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 64|64|LIB United States Senator|Write-In|0
City of Kenosha|Wards 64|64|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 64|64|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 64|64|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 64|64|LIB District Attorney|Write-In|0
City of Kenosha|Wards 64|64|LIB County Clerk|Write-In|0
City of Kenosha|Wards 64|64|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 64|64|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 64|64|GRN United States Senator|Write-In|0
City of Kenosha|Wards 64|64|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 64|64|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 64|64|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 64|64|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 64|64|GRN District Attorney|Write-In|0
City of Kenosha|Wards 64|64|GRN County Clerk|Write-In|0
City of Kenosha|Wards 64|64|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 64|64|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 64|64|State Referendum - Question 1|Yes|0
City of Kenosha|Wards 64|64|State Referendum - Question 1|No|0
City of Kenosha|Wards 64|64|State Referendum - Question 2|Yes|0
City of Kenosha|Wards 64|64|State Referendum - Question 2|No|0
City of Kenosha|Wards 65|65|Party Preference Section|Democratic|0
City of Kenosha|Wards 65|65|Party Preference Section|Republican|0
City of Kenosha|Wards 65|65|Party Preference Section|Constitution|0
City of Kenosha|Wards 65|65|Party Preference Section|Libertarian|0
City of Kenosha|Wards 65|65|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 65|65|DEM United States Senator|Tammy Baldwin|0
City of Kenosha|Wards 65|65|DEM United States Senator|Write-In|0
City of Kenosha|Wards 65|65|DEM Representative in Congress|Peter Barca|0
City of Kenosha|Wards 65|65|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 65|65|DEM Representative to the Assembly District 32|Michael Dhindsa|0
City of Kenosha|Wards 65|65|DEM Representative to the Assembly District 32|Write-In|0
City of Kenosha|Wards 65|65|DEM District Attorney|Carli McNeill|0
City of Kenosha|Wards 65|65|DEM District Attorney|Write-In|0
City of Kenosha|Wards 65|65|DEM County Clerk|Regi Waligora|0
City of Kenosha|Wards 65|65|DEM County Clerk|Write-In|0
City of Kenosha|Wards 65|65|DEM County Treasurer|Teri Jacobson|0
City of Kenosha|Wards 65|65|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 65|65|DEM Register of Deeds|Jennifer Mack|0
City of Kenosha|Wards 65|65|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 65|65|REP United States Senator|Eric Hovde|0
City of Kenosha|Wards 65|65|REP United States Senator|Charles E. Barman|0
City of Kenosha|Wards 65|65|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 65|65|REP United States Senator|Write-In|0
City of Kenosha|Wards 65|65|REP Representative in Congress|Bryan Steil|0
City of Kenosha|Wards 65|65|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 65|65|REP Representative to the Assembly District 32|Amanda Nedweski|0
City of Kenosha|Wards 65|65|REP Representative to the Assembly District 32|Write-In|0
City of Kenosha|Wards 65|65|REP District Attorney|Xavier Solis|0
City of Kenosha|Wards 65|65|REP District Attorney|Write-In|0
City of Kenosha|Wards 65|65|REP County Clerk|Write-In|0
City of Kenosha|Wards 65|65|REP County Treasurer|Write-In|0
City of Kenosha|Wards 65|65|REP Register of Deeds|Write-In|0
City of Kenosha|Wards 65|65|CON United States Senator|Write-In|0
City of Kenosha|Wards 65|65|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 65|65|CON Representative to the Assembly District 32|Write-In|0
City of Kenosha|Wards 65|65|CON District Attorney|Write-In|0
City of Kenosha|Wards 65|65|CON County Clerk|Write-In|0
City of Kenosha|Wards 65|65|CON County Treasurer|Write-In|0
City of Kenosha|Wards 65|65|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 65|65|LIB United States Senator|Write-In|0
City of Kenosha|Wards 65|65|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 65|65|LIB Representative to the Assembly District 32|Write-In|0
City of Kenosha|Wards 65|65|LIB District Attorney|Write-In|0
City of Kenosha|Wards 65|65|LIB County Clerk|Write-In|0
City of Kenosha|Wards 65|65|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 65|65|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 65|65|GRN United States Senator|Write-In|0
City of Kenosha|Wards 65|65|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 65|65|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 65|65|GRN Representative to the Assembly District 32|Write-In|0
City of Kenosha|Wards 65|65|GRN District Attorney|Write-In|0
City of Kenosha|Wards 65|65|GRN County Clerk|Write-In|0
City of Kenosha|Wards 65|65|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 65|65|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 65|65|State Referendum - Question 1|Yes|0
City of Kenosha|Wards 65|65|State Referendum - Question 1|No|0
City of Kenosha|Wards 65|65|State Referendum - Question 2|Yes|0
City of Kenosha|Wards 65|65|State Referendum - Question 2|No|0
City of Kenosha|Wards 66|66|Party Preference Section|Democratic|75
City of Kenosha|Wards 66|66|Party Preference Section|Republican|23
City of Kenosha|Wards 66|66|Party Preference Section|Constitution|0
City of Kenosha|Wards 66|66|Party Preference Section|Libertarian|0
City of Kenosha|Wards 66|66|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 66|66|DEM United States Senator|Tammy Baldwin|74
City of Kenosha|Wards 66|66|DEM United States Senator|Write-In|1
City of Kenosha|Wards 66|66|DEM Representative in Congress|Peter Barca|73
City of Kenosha|Wards 66|66|DEM Representative in Congress|Write-In|1
City of Kenosha|Wards 66|66|DEM State Senator District 22|Robert W. Wirch|74
City of Kenosha|Wards 66|66|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 66|66|DEM Representative to the Assembly District 65|Ben DeSmidt|58
City of Kenosha|Wards 66|66|DEM Representative to the Assembly District 65|Kyle Flood|11
City of Kenosha|Wards 66|66|DEM Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 66|66|DEM District Attorney|Carli McNeill|68
City of Kenosha|Wards 66|66|DEM District Attorney|Write-In|1
City of Kenosha|Wards 66|66|DEM County Clerk|Regi Waligora|69
City of Kenosha|Wards 66|66|DEM County Clerk|Write-In|0
City of Kenosha|Wards 66|66|DEM County Treasurer|Teri Jacobson|66
City of Kenosha|Wards 66|66|DEM County Treasurer|Write-In|1
City of Kenosha|Wards 66|66|DEM Register of Deeds|Jennifer Mack|67
City of Kenosha|Wards 66|66|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 66|66|REP United States Senator|Eric Hovde|21
City of Kenosha|Wards 66|66|REP United States Senator|Charles E. Barman|4
City of Kenosha|Wards 66|66|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 66|66|REP United States Senator|Write-In|0
City of Kenosha|Wards 66|66|REP Representative in Congress|Bryan Steil|21
City of Kenosha|Wards 66|66|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 66|66|REP State Senator District 22|Write-In|0
City of Kenosha|Wards 66|66|REP Representative to the Assembly District 65|Brian Gonzales|16
City of Kenosha|Wards 66|66|REP Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 66|66|REP District Attorney|Xavier Solis|17
City of Kenosha|Wards 66|66|REP District Attorney|Write-In|0
City of Kenosha|Wards 66|66|REP County Clerk|Write-In|0
City of Kenosha|Wards 66|66|REP County Treasurer|Write-In|0
City of Kenosha|Wards 66|66|REP Register of Deeds|Write-In|0
City of Kenosha|Wards 66|66|CON United States Senator|Write-In|0
City of Kenosha|Wards 66|66|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 66|66|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 66|66|CON Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 66|66|CON District Attorney|Write-In|0
City of Kenosha|Wards 66|66|CON County Clerk|Write-In|0
City of Kenosha|Wards 66|66|CON County Treasurer|Write-In|0
City of Kenosha|Wards 66|66|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 66|66|LIB United States Senator|Write-In|0
City of Kenosha|Wards 66|66|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 66|66|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 66|66|LIB Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 66|66|LIB District Attorney|Write-In|0
City of Kenosha|Wards 66|66|LIB County Clerk|Write-In|0
City of Kenosha|Wards 66|66|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 66|66|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 66|66|GRN United States Senator|Write-In|0
City of Kenosha|Wards 66|66|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 66|66|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 66|66|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 66|66|GRN Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 66|66|GRN District Attorney|Write-In|0
City of Kenosha|Wards 66|66|GRN County Clerk|Write-In|0
City of Kenosha|Wards 66|66|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 66|66|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 66|66|State Referendum - Question 1|No|65
City of Kenosha|Wards 66|66|State Referendum - Question 1|Yes|34
City of Kenosha|Wards 66|66|State Referendum - Question 2|No|65
City of Kenosha|Wards 66|66|State Referendum - Question 2|Yes|33
City of Kenosha|Wards 67|67|Party Preference Section|Democratic|72
City of Kenosha|Wards 67|67|Party Preference Section|Republican|25
City of Kenosha|Wards 67|67|Party Preference Section|Constitution|0
City of Kenosha|Wards 67|67|Party Preference Section|Libertarian|0
City of Kenosha|Wards 67|67|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 67|67|DEM United States Senator|Tammy Baldwin|68
City of Kenosha|Wards 67|67|DEM United States Senator|Write-In|0
City of Kenosha|Wards 67|67|DEM Representative in Congress|Peter Barca|65
City of Kenosha|Wards 67|67|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 67|67|DEM State Senator District 22|Robert W. Wirch|67
City of Kenosha|Wards 67|67|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 67|67|DEM Representative to the Assembly District 65|Ben DeSmidt|54
City of Kenosha|Wards 67|67|DEM Representative to the Assembly District 65|Kyle Flood|13
City of Kenosha|Wards 67|67|DEM Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 67|67|DEM District Attorney|Carli McNeill|66
City of Kenosha|Wards 67|67|DEM District Attorney|Write-In|0
City of Kenosha|Wards 67|67|DEM County Clerk|Regi Waligora|64
City of Kenosha|Wards 67|67|DEM County Clerk|Write-In|0
City of Kenosha|Wards 67|67|DEM County Treasurer|Teri Jacobson|64
City of Kenosha|Wards 67|67|DEM County Treasurer|Write-In|1
City of Kenosha|Wards 67|67|DEM Register of Deeds|Jennifer Mack|65
City of Kenosha|Wards 67|67|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 67|67|REP United States Senator|Eric Hovde|25
City of Kenosha|Wards 67|67|REP United States Senator|Rejani Raveendran|3
City of Kenosha|Wards 67|67|REP United States Senator|Charles E. Barman|1
City of Kenosha|Wards 67|67|REP United States Senator|Write-In|0
City of Kenosha|Wards 67|67|REP Representative in Congress|Bryan Steil|27
City of Kenosha|Wards 67|67|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 67|67|REP State Senator District 22|Write-In|0
City of Kenosha|Wards 67|67|REP Representative to the Assembly District 65|Brian Gonzales|23
City of Kenosha|Wards 67|67|REP Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 67|67|REP District Attorney|Xavier Solis|24
City of Kenosha|Wards 67|67|REP District Attorney|Write-In|0
City of Kenosha|Wards 67|67|REP County Clerk|Write-In|1
City of Kenosha|Wards 67|67|REP County Treasurer|Write-In|1
City of Kenosha|Wards 67|67|REP Register of Deeds|Write-In|1
City of Kenosha|Wards 67|67|CON United States Senator|Write-In|0
City of Kenosha|Wards 67|67|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 67|67|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 67|67|CON Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 67|67|CON District Attorney|Write-In|0
City of Kenosha|Wards 67|67|CON County Clerk|Write-In|0
City of Kenosha|Wards 67|67|CON County Treasurer|Write-In|0
City of Kenosha|Wards 67|67|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 67|67|LIB United States Senator|Write-In|0
City of Kenosha|Wards 67|67|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 67|67|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 67|67|LIB Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 67|67|LIB District Attorney|Write-In|0
City of Kenosha|Wards 67|67|LIB County Clerk|Write-In|0
City of Kenosha|Wards 67|67|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 67|67|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 67|67|GRN United States Senator|Write-In|0
City of Kenosha|Wards 67|67|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 67|67|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 67|67|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 67|67|GRN Representative to the Assembly District 65|Write-In|0
City of Kenosha|Wards 67|67|GRN District Attorney|Write-In|0
City of Kenosha|Wards 67|67|GRN County Clerk|Write-In|0
City of Kenosha|Wards 67|67|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 67|67|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 67|67|State Referendum - Question 1|No|76
City of Kenosha|Wards 67|67|State Referendum - Question 1|Yes|26
City of Kenosha|Wards 67|67|State Referendum - Question 2|No|78
City of Kenosha|Wards 67|67|State Referendum - Question 2|Yes|25
City of Kenosha|Wards 68|68|Party Preference Section|Democratic|0
City of Kenosha|Wards 68|68|Party Preference Section|Republican|0
City of Kenosha|Wards 68|68|Party Preference Section|Constitution|0
City of Kenosha|Wards 68|68|Party Preference Section|Libertarian|0
City of Kenosha|Wards 68|68|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 68|68|DEM United States Senator|Tammy Baldwin|0
City of Kenosha|Wards 68|68|DEM United States Senator|Write-In|0
City of Kenosha|Wards 68|68|DEM Representative in Congress|Peter Barca|0
City of Kenosha|Wards 68|68|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 68|68|DEM State Senator District 22|Robert W. Wirch|0
City of Kenosha|Wards 68|68|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 68|68|DEM Representative to the Assembly District 64|Tip McGuire|0
City of Kenosha|Wards 68|68|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 68|68|DEM District Attorney|Carli McNeill|0
City of Kenosha|Wards 68|68|DEM District Attorney|Write-In|0
City of Kenosha|Wards 68|68|DEM County Clerk|Regi Waligora|0
City of Kenosha|Wards 68|68|DEM County Clerk|Write-In|0
City of Kenosha|Wards 68|68|DEM County Treasurer|Teri Jacobson|0
City of Kenosha|Wards 68|68|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 68|68|DEM Register of Deeds|Jennifer Mack|0
City of Kenosha|Wards 68|68|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 68|68|REP United States Senator|Eric Hovde|0
City of Kenosha|Wards 68|68|REP United States Senator|Charles E. Barman|0
City of Kenosha|Wards 68|68|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 68|68|REP United States Senator|Write-In|0
City of Kenosha|Wards 68|68|REP Representative in Congress|Bryan Steil|0
City of Kenosha|Wards 68|68|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 68|68|REP State Senator District 22|Write-In|0
City of Kenosha|Wards 68|68|REP Representative to the Assembly District 64|Ed Hibsch|0
City of Kenosha|Wards 68|68|REP Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 68|68|REP District Attorney|Xavier Solis|0
City of Kenosha|Wards 68|68|REP District Attorney|Write-In|0
City of Kenosha|Wards 68|68|REP County Clerk|Write-In|0
City of Kenosha|Wards 68|68|REP County Treasurer|Write-In|0
City of Kenosha|Wards 68|68|REP Register of Deeds|Write-In|0
City of Kenosha|Wards 68|68|CON United States Senator|Write-In|0
City of Kenosha|Wards 68|68|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 68|68|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 68|68|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 68|68|CON District Attorney|Write-In|0
City of Kenosha|Wards 68|68|CON County Clerk|Write-In|0
City of Kenosha|Wards 68|68|CON County Treasurer|Write-In|0
City of Kenosha|Wards 68|68|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 68|68|LIB United States Senator|Write-In|0
City of Kenosha|Wards 68|68|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 68|68|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 68|68|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 68|68|LIB District Attorney|Write-In|0
City of Kenosha|Wards 68|68|LIB County Clerk|Write-In|0
City of Kenosha|Wards 68|68|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 68|68|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 68|68|GRN United States Senator|Write-In|0
City of Kenosha|Wards 68|68|GRN Representative in Congress|Chester Todd, Jr.|0
City of Kenosha|Wards 68|68|GRN Representative in Congress|Write-In|0
City of Kenosha|Wards 68|68|GRN State Senator District 22|Write-In|0
City of Kenosha|Wards 68|68|GRN Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 68|68|GRN District Attorney|Write-In|0
City of Kenosha|Wards 68|68|GRN County Clerk|Write-In|0
City of Kenosha|Wards 68|68|GRN County Treasurer|Write-In|0
City of Kenosha|Wards 68|68|GRN Register of Deeds|Write-In|0
City of Kenosha|Wards 68|68|State Referendum - Question 1|Yes|0
City of Kenosha|Wards 68|68|State Referendum - Question 1|No|0
City of Kenosha|Wards 68|68|State Referendum - Question 2|Yes|0
City of Kenosha|Wards 68|68|State Referendum - Question 2|No|0
City of Kenosha|Wards 69|69|Party Preference Section|Democratic|0
City of Kenosha|Wards 69|69|Party Preference Section|Republican|0
City of Kenosha|Wards 69|69|Party Preference Section|Constitution|0
City of Kenosha|Wards 69|69|Party Preference Section|Libertarian|0
City of Kenosha|Wards 69|69|Party Preference Section|Wisconsin Green|0
City of Kenosha|Wards 69|69|DEM United States Senator|Tammy Baldwin|0
City of Kenosha|Wards 69|69|DEM United States Senator|Write-In|0
City of Kenosha|Wards 69|69|DEM Representative in Congress|Peter Barca|0
City of Kenosha|Wards 69|69|DEM Representative in Congress|Write-In|0
City of Kenosha|Wards 69|69|DEM State Senator District 22|Robert W. Wirch|0
City of Kenosha|Wards 69|69|DEM State Senator District 22|Write-In|0
City of Kenosha|Wards 69|69|DEM Representative to the Assembly District 64|Tip McGuire|0
City of Kenosha|Wards 69|69|DEM Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 69|69|DEM District Attorney|Carli McNeill|0
City of Kenosha|Wards 69|69|DEM District Attorney|Write-In|0
City of Kenosha|Wards 69|69|DEM County Clerk|Regi Waligora|0
City of Kenosha|Wards 69|69|DEM County Clerk|Write-In|0
City of Kenosha|Wards 69|69|DEM County Treasurer|Teri Jacobson|0
City of Kenosha|Wards 69|69|DEM County Treasurer|Write-In|0
City of Kenosha|Wards 69|69|DEM Register of Deeds|Jennifer Mack|0
City of Kenosha|Wards 69|69|DEM Register of Deeds|Write-In|0
City of Kenosha|Wards 69|69|REP United States Senator|Eric Hovde|0
City of Kenosha|Wards 69|69|REP United States Senator|Charles E. Barman|0
City of Kenosha|Wards 69|69|REP United States Senator|Rejani Raveendran|0
City of Kenosha|Wards 69|69|REP United States Senator|Write-In|0
City of Kenosha|Wards 69|69|REP Representative in Congress|Bryan Steil|0
City of Kenosha|Wards 69|69|REP Representative in Congress|Write-In|0
City of Kenosha|Wards 69|69|REP State Senator District 22|Write-In|0
City of Kenosha|Wards 69|69|REP Representative to the Assembly District 64|Ed Hibsch|0
City of Kenosha|Wards 69|69|REP Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 69|69|REP District Attorney|Xavier Solis|0
City of Kenosha|Wards 69|69|REP District Attorney|Write-In|0
City of Kenosha|Wards 69|69|REP County Clerk|Write-In|0
City of Kenosha|Wards 69|69|REP County Treasurer|Write-In|0
City of Kenosha|Wards 69|69|REP Register of Deeds|Write-In|0
City of Kenosha|Wards 69|69|CON United States Senator|Write-In|0
City of Kenosha|Wards 69|69|CON Representative in Congress|Write-In|0
City of Kenosha|Wards 69|69|CON State Senator District 22|Write-In|0
City of Kenosha|Wards 69|69|CON Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 69|69|CON District Attorney|Write-In|0
City of Kenosha|Wards 69|69|CON County Clerk|Write-In|0
City of Kenosha|Wards 69|69|CON County Treasurer|Write-In|0
City of Kenosha|Wards 69|69|CON Register of Deeds|Write-In|0
City of Kenosha|Wards 69|69|LIB United States Senator|Write-In|0
City of Kenosha|Wards 69|69|LIB Representative in Congress|Write-In|0
City of Kenosha|Wards 69|69|LIB State Senator District 22|Write-In|0
City of Kenosha|Wards 69|69|LIB Representative to the Assembly District 64|Write-In|0
City of Kenosha|Wards 69|69|LIB District Attorney|Write-In|0
City of Kenosha|Wards 69|69|LIB County Clerk|Write-In|0
City of Kenosha|Wards 69|69|LIB County Treasurer|Write-In|0
City of Kenosha|Wards 69|69|LIB Register of Deeds|Write-In|0
City of Kenosha|Wards 69|69|GRN United States Senator|Write-In|0
